Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Antoine Wright,2005,15,G/F,39,0,9.5,0.358,0.067,0.5,0.8,0.3,0.1,0.1,1.8,63,23,18,0.438,0.322,0.603,2.8,0.9,0.5,0.2,4.5,41,10,25.8,0.401,0.267,0.707,3,1.6,0.6,0.4,7.3,15,0,11.7,0.5,0.556,0.556,1.5,0.9,0.1,0.3,3.5,No,0,0
Joey Graham,2005,16,F,80,24,19.8,0.478,0.333,0.812,3.1,0.8,0.5,0.2,6.7,79,21,16.7,0.495,0.29,0.84,3.1,0.6,0.4,0.1,6.4,38,3,8.7,0.434,0.667,0.844,1.8,0.4,0.1,0,3.6,78,10,19.8,0.481,0.188,0.825,3.7,0.6,0.4,0.2,7.7,No,0,0
Danny Granger,2005,17,SF,78,17,22.6,0.462,0.323,0.777,4.9,1.2,0.7,0.8,7.5,82,57,34,0.459,0.382,0.803,4.6,1.4,0.8,0.7,13.9,80,80,36,0.446,0.404,0.852,6.1,2.1,1.2,1.1,19.6,67,66,36.2,0.447,0.404,0.878,5.1,2.7,1,1.4,25.8,No,1,1
Gerald Green,2005,18,G/F,32,3,11.7,0.478,0.3,0.784,1.3,0.6,0.4,0.1,5.2,81,26,22,0.419,0.368,0.805,2.6,1,0.5,0.3,10.4,29,0,12.3,0.331,0.385,0.829,2.1,1,0.3,0.1,5.1,1,0,4,1,0,0,2,0,0,0,6,No,0,0
Hakim Warrick,2005,19,F,68,2,10.6,0.443,0,0.661,2.1,0.4,0.2,0.3,4.1,82,43,26.2,0.524,0,0.771,5.1,0.9,0.5,0.4,12.7,75,30,23.4,0.502,0.271,0.704,4.7,0.7,0.5,0.4,11.4,82,7,24.7,0.491,0.217,0.711,5,0.8,0.6,0.5,11.6,No,0,0
Nate Robinson,2005,21,G,72,26,21.4,0.407,0.397,0.752,2.3,2,0.8,0,9.3,64,5,21.2,0.434,0.39,0.777,2.4,1.4,0.8,0.1,10.1,72,17,26.2,0.423,0.332,0.786,3.1,2.9,0.8,0,12.7,74,11,29.9,0.437,0.325,0.841,3.9,4.1,1.3,0.1,17.2,No,0,0
Jarrett Jack,2005,22,G,79,4,20.2,0.442,0.263,0.8,2,2.8,0.5,0,6.7,79,79,33.6,0.454,0.35,0.871,2.6,5.3,1.1,0.1,12,82,16,27.2,0.431,0.342,0.867,2.9,3.8,0.7,0,9.9,82,53,33.1,0.453,0.353,0.852,3.4,4.1,1.1,0.2,13.1,No,0,0
Francisco García,2005,23,G/F,67,11,19.4,0.4,0.285,0.772,2.8,1.4,0.6,0.7,5.6,79,5,17.8,0.429,0.356,0.833,2.6,1.1,0.6,0.5,6,79,20,26.5,0.463,0.391,0.779,3.3,1.6,1.2,0.6,12.3,65,36,30.4,0.444,0.398,0.82,3.4,2.3,1.2,1,12.7,No,0,0
Luther Head,2005,24,G,80,27,28.9,0.403,0.361,0.699,3.3,2.7,1.1,0.1,8.8,80,10,27.6,0.437,0.441,0.79,3.2,2.4,1,0.1,10.9,73,17,18.9,0.432,0.351,0.815,1.8,1.9,0.6,0.1,7.6,22,4,14.6,0.386,0.368,0.875,1.2,1.6,0.3,0,4.8,No,0,0
Johan Petro,2005,25,C,68,41,18.9,0.51,0,0.627,4.4,0.2,0.4,0.8,5.2,81,13,18.6,0.516,0,0.649,4.1,0.6,0.5,0.6,6.2,72,28,18.2,0.419,0,0.736,5.1,0.4,0.5,0.6,6,22,12,18.2,0.407,0,0.667,4.3,0.3,0.7,0.2,4.6,No,0,0
Jason Maxiell,2005,26,F,26,0,6.1,0.426,0,0.333,1.1,0.1,0.2,0.2,2.3,67,8,14.1,0.5,0,0.526,2.8,0.2,0.4,0.9,5,82,7,21.6,0.538,0,0.633,5.3,0.6,0.3,1.1,7.9,78,4,18.1,0.575,0,0.532,4.2,0.3,0.3,0.8,5.8,No,0,0
Linas Kleiza,2005,27,F,61,2,8.5,0.445,0.154,0.704,1.9,0.2,0.2,0.2,3.5,79,14,18.8,0.422,0.376,0.852,3.4,0.6,0.4,0.2,7.6,79,13,23.9,0.472,0.339,0.77,4.2,1.2,0.6,0.2,11.1,82,7,22.2,0.447,0.326,0.725,4,0.8,0.4,0.2,9.9,No,0,0
Ian Mahinmi,2005,28,F/C,6,0,3.8,0.5,0,1,0.8,0.2,0,0.7,3.5,26,0,6.3,0.636,0,0.66,2,0.1,0.1,0.3,3.9,56,0,8.7,0.561,0,0.768,2.1,0.1,0.3,0.3,3.1,61,12,18.7,0.546,0,0.639,4.7,0.2,0.6,0.5,5.8,No,0,0
David Lee,2005,30,PF,67,14,16.9,0.596,0,0.577,4.5,0.6,0.4,0.3,5.1,58,12,29.8,0.6,0,0.815,10.4,1.8,0.8,0.4,10.7,81,29,29.1,0.552,0,0.819,8.9,1.2,0.7,0.4,10.8,81,74,34.9,0.549,0,0.755,11.7,2.1,1,0.3,16,No,1,2
Brandon Bass,2005,33,F,29,1,9.2,0.4,0,0.632,2.3,0.1,0.1,0.2,2.3,21,3,7.7,0.341,0,0.75,2,0.1,0.1,0.1,2,79,1,19.7,0.499,0,0.822,4.4,0.7,0.3,0.6,8.3,81,0,19.4,0.496,0,0.867,4.5,0.5,0.3,0.7,8.5,No,0,0
Ersan İlyasova,2005,36,F,66,14,14.7,0.383,0.365,0.787,2.9,0.7,0.4,0.3,6.1,81,31,23.4,0.443,0.336,0.715,6.4,1,0.7,0.3,10.4,60,34,25.1,0.436,0.298,0.894,6.1,0.9,0.9,0.4,9.5,60,41,27.6,0.492,0.455,0.781,8.8,1.2,0.7,0.7,13,No,0,0
Ronny Turiaf,2005,37,F,23,0,10.7,0.42,0.439,0.833,0.9,0.7,0.3,0,3.8,72,1,15.1,0.549,0,0.664,3.6,0.9,0.2,1.1,5.3,78,21,18.7,0.474,0,0.753,3.9,1.6,0.4,1.4,6.6,79,26,21.5,0.508,0,0.79,4.6,2.1,0.4,2.1,5.9,No,0,0
Travis Diener,2005,38,G,23,0,10.7,0.42,0.439,0.833,0.9,0.7,0.3,0,3.8,26,0,11.1,0.425,0.36,0.8,0.7,1.3,0.2,0,3.8,66,21,20.5,0.37,0.318,0.901,1.7,3.8,0.5,0.1,6.9,55,0,13.1,0.413,0.39,0.8,1.6,2.2,0.5,0.1,3.7,No,0,0
Von Wafer,2005,39,G,16,0,4.6,0.158,0.118,0.75,0.5,0.3,0.2,0,1.3,1,0,1,0,0,0,0,0,0,0,0,21,0,4.3,0.263,0.067,0.75,0.5,0.2,0.1,0,1.3,8,0,8,0.304,0.273,0.5,1.1,0.3,0,0.3,2.4,No,0,0
Monta Ellis,2005,40,SG,49,3,18.1,0.415,0.341,0.712,2.1,1.6,0.7,0.2,6.8,77,53,34.3,0.475,0.273,0.763,3.2,4.1,1.7,0.3,16.5,81,72,37.9,0.531,0.231,0.767,5,3.9,1.5,0.3,20.2,25,25,35.7,0.451,0.308,0.83,4.3,3.7,1.6,0.3,19,No,0,0
Lou Williams,2005,45,SG,30,0,4.8,0.442,0.222,0.615,0.6,0.3,0.2,0,1.9,61,0,11.3,0.441,0.324,0.696,1.1,1.8,0.4,0,4.3,80,0,23.3,0.424,0.359,0.783,2.1,3.2,1,0.2,11.5,81,0,23.7,0.398,0.286,0.79,2,3,1,0.2,12.8,No,0,0
