is_pg,is_sg,is_sf,is_pf,is_c,pick_round,y1_gp,y1_gs,y1_mpg,y1_fg%,y1_3p%,y1_ft%,y1_rpg,y1_apg,y1_spg,y1_bpg,y1_ppg,y2_gp,y2_gs,y2_mpg,y2_fg%,y2_3p%,y2_ft%,y2_rpg,y2_apg,y2_spg,y2_bpg,y2_ppg,y3_gp,y3_gs,y3_mpg,y3_fg%,y3_3p%,y3_ft%,y3_rpg,y3_apg,y3_spg,y3_bpg,y3_ppg,y4_gp,y4_gs,y4_mpg,y4_fg%,y4_3p%,y4_ft%,y4_rpg,y4_apg,y4_spg,y4_bpg,y4_ppg,active,all-stars_by_y4,total_all-stars
0.0,0.0,0.0,0.0,1.0,0.0,0.9876543209876543,0.9878048780487805,0.9573333333333333,0.562,0.0,0.592,1.0,0.22891566265060237,0.3181818181818182,1.0,1.0,0.9876543209876543,0.9878048780487805,0.9394673123486683,0.599,0.0,0.554,1.0,0.25,0.40909090909090906,1.0,0.9898648648648647,0.9634146341463415,0.9634146341463415,0.8705882352941177,0.583,0.0,0.533,0.75,0.2327586206896552,0.3333333333333333,0.8275862068965517,0.9331210191082803,0.654320987654321,0.6341463414634146,0.8750000000000001,0.573,0.5,0.487,0.7432432432432431,0.2636363636363636,0.21428571428571427,0.5675675675675675,0.9204152249134949,0,4,15
0.0,1.0,0.0,0.0,0.0,0.20338983050847456,0.8641975308641974,0.07317073170731708,0.36000000000000004,0.417,0.375,0.819,0.13669064748201437,0.15662650602409636,0.3181818181818182,0.0857142857142857,0.3247863247863248,0.9629629629629628,0.012195121951219513,0.6053268765133173,0.428,0.341,0.794,0.23484848484848486,0.2604166666666667,0.40909090909090906,0.1724137931034483,0.5202702702702702,0.6097560975609756,0.6097560975609756,0.8917647058823529,0.465,0.267,0.839,0.34868421052631576,0.3275862068965517,0.5185185185185185,0.3448275862068966,0.6337579617834395,0.8024691358024691,0.7560975609756098,0.9311224489795921,0.468,0.319,0.821,0.4256756756756756,0.4454545454545455,0.5714285714285715,0.2432432432432432,0.7785467128027682,0,2,18
0.0,1.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.9634146341463415,1.0000000000000002,0.417,0.29,0.754,0.39568345323741005,0.7108433734939759,0.7272727272727273,0.19999999999999998,0.8931623931623931,0.9753086419753085,0.975609756097561,1.0,0.472,0.351,0.75,0.5606060606060607,0.75,1.0,0.2413793103448276,0.9189189189189187,0.9634146341463415,0.9634146341463415,1.0,0.48,0.335,0.738,0.4605263157894737,0.5689655172413793,0.5925925925925926,0.2758620689655173,1.0,0.9506172839506173,0.951219512195122,1.0000000000000002,0.476,0.319,0.698,0.45270270270270263,0.5454545454545454,0.5714285714285715,0.18918918918918914,0.9446366782006922,1,3,21
0.0,0.0,1.0,0.0,0.0,0.03389830508474577,1.0,1.0,0.92,0.426,0.322,0.777,0.4388489208633093,0.33734939759036137,0.5454545454545454,0.14285714285714285,0.8974358974358975,0.9135802469135801,0.9146341463414634,0.8184019370460048,0.431,0.266,0.796,0.4318181818181818,0.27083333333333337,0.40909090909090906,0.13793103448275865,0.7027027027027026,0.975609756097561,0.975609756097561,0.8658823529411764,0.481,0.243,0.808,0.3223684210526316,0.2327586206896552,0.40740740740740744,0.1724137931034483,0.8439490445859873,0.7901234567901234,0.7926829268292683,0.9311224489795921,0.476,0.268,0.808,0.4054054054054054,0.34545454545454546,0.42857142857142855,0.1081081081081081,1.0,0,1,10
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9390243902439025,0.7093333333333334,0.533,0.0,0.629,0.5035971223021583,0.2771084337349397,0.2727272727272727,0.22857142857142856,0.4017094017094017,0.8024691358024691,0.8048780487804879,0.8038740920096854,0.553,0.2,0.577,0.6666666666666667,0.3125,0.3181818181818182,0.1724137931034483,0.4155405405405405,0.951219512195122,0.951219512195122,0.8211764705882353,0.511,0.0,0.587,0.6447368421052632,0.2241379310344828,0.2962962962962963,0.5862068965517242,0.4554140127388535,0.43209876543209874,0.4024390243902439,0.7525510204081634,0.577,0.0,0.571,0.6959459459459459,0.18181818181818182,0.21428571428571427,0.27027027027027023,0.40484429065743943,0,0,0
0.0,0.0,1.0,1.0,0.0,0.01694915254237288,0.9629629629629628,0.08536585365853659,0.6053333333333334,0.443,0.245,0.747,0.3453237410071942,0.09638554216867469,0.2727272727272727,0.0857142857142857,0.36324786324786323,0.7777777777777777,0.7682926829268293,0.7990314769975788,0.433,0.244,0.815,0.4015151515151515,0.19791666666666666,0.36363636363636365,0.1724137931034483,0.4425675675675675,0.975609756097561,0.975609756097561,0.8141176470588235,0.462,0.1,0.822,0.375,0.14655172413793105,0.37037037037037035,0.13793103448275865,0.4713375796178344,0.7407407407407407,0.7195121951219512,0.8316326530612246,0.458,0.355,0.806,0.4256756756756756,0.1181818181818182,0.32142857142857145,0.16216216216216214,0.48096885813148793,0,0,0
1.0,0.0,0.0,0.0,0.0,0.03389830508474577,0.9753086419753085,0.5731707317073171,0.7146666666666667,0.421,0.416,0.704,0.1726618705035971,0.5421686746987951,0.36363636363636365,0.05714285714285714,0.46153846153846156,0.9753086419753085,0.975609756097561,0.8692493946731236,0.456,0.322,0.767,0.25,0.9687500000000001,0.45454545454545453,0.06896551724137932,0.5472972972972971,1.0,1.0,0.8776470588235293,0.507,0.395,0.803,0.19736842105263158,0.9051724137931035,0.40740740740740744,0.10344827586206896,0.5987261146496815,0.8271604938271604,0.8292682926829269,0.8954081632653061,0.471,0.31,0.849,0.19594594594594592,0.9727272727272727,0.3928571428571429,0.08108108108108107,0.671280276816609,0,0,3
1.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.9506172839506173,0.951219512195122,0.9066666666666667,0.43,0.282,0.847,0.3669064748201438,0.9397590361445782,1.0,0.02857142857142857,0.6880341880341881,0.7777777777777777,0.7804878048780488,0.8668280871670703,0.437,0.35,0.818,0.33333333333333337,0.9270833333333334,0.8181818181818181,0.0,0.5844594594594594,0.975609756097561,0.975609756097561,0.8847058823529412,0.488,0.369,0.851,0.2631578947368421,1.0,1.0,0.03448275862068966,0.6719745222929937,0.9506172839506173,0.951219512195122,0.9387755102040818,0.503,0.364,0.868,0.37162162162162155,1.0,1.0,0.027027027027027025,0.7889273356401385,1,2,11
1.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.9753086419753085,0.6585365853658537,0.7493333333333334,0.391,0.358,0.725,0.237410071942446,0.6746987951807227,0.5909090909090909,0.02857142857142857,0.5085470085470085,0.9506172839506173,0.9146341463414634,0.8547215496368039,0.384,0.33,0.797,0.25757575757575757,0.7291666666666667,0.6818181818181818,0.03448275862068966,0.4729729729729729,0.9634146341463415,0.9634146341463415,0.8847058823529412,0.413,0.28,0.8,0.19736842105263158,0.6379310344827587,0.4444444444444444,0.06896551724137932,0.4585987261146497,1.0,0.9878048780487805,0.9158163265306124,0.408,0.285,0.805,0.2567567567567567,0.6090909090909091,0.5357142857142857,0.1081081081081081,0.49134948096885817,0,0,0
0.0,1.0,1.0,0.0,0.0,0.08474576271186442,0.7407407407407407,0.21951219512195122,0.41333333333333333,0.399,0.357,0.859,0.1510791366906475,0.07228915662650601,0.13636363636363635,0.05714285714285714,0.28205128205128205,1.0,0.32926829268292684,0.49636803874092017,0.396,0.364,0.705,0.2196969696969697,0.0625,0.18181818181818182,0.06896551724137932,0.23648648648648646,0.9146341463414634,0.8536585365853658,0.668235294117647,0.422,0.388,0.735,0.256578947368421,0.10344827586206896,0.2222222222222222,0.13793103448275865,0.34076433121019106,0.0,0.0,0.08418367346938778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
